term,retired_by
smn:AggregatedMeasurement,B-232
smn:BodyShape,B-232
smn:Characteristic,B-232
smn:Entity,B-232
smn:FishForkLengthMeasurementMethod,B-232
smn:FishLength,B-232
smn:FishLengthMeasurementMethod,B-232
smn:FishLengthMeasurementType,B-232
smn:FishWeight,B-232
smn:FishingType,B-232
smn:ForkLengthMeasurement,B-232
smn:ForkLengthMeasurementFieldMethod,B-232
smn:ForkLengthMeasurementLabMethod,B-232
smn:ForkLengthMeasurementMethod,B-232
smn:GeographicFeature,B-232
smn:HabitatUnit,B-232
smn:IndividualMeasurement,B-232
smn:Life-HistoryCharacteristic,B-232
smn:ModelMeasurement,B-232
smn:MorphologicalCharacteristic,B-232
smn:NCBITaxon_8018,B-108
smn:Observation,B-232
smn:Run,B-237
smn:SalmonGroup,B-232
smn:SalmonIndividual,B-232
smn:SalmonLifeStage,B-232
smn:SalmonPopulationGroup,B-232
smn:SalmonStockUnit,B-232
smn:StandardLengthMeasurement,B-232
smn:TotalLengthMeasurement,B-232
smn:alevin,B-232
smn:basedOn,B-232
smn:characteristicFor,B-232
smn:forkLength,B-232
smn:fusiform,B-232
smn:hasEventType,B-232
smn:hasMeasurement,B-232
smn:observedTaxonFamily,B-232
smn:observedTaxonSpecies,B-232
smn:orbitalLength,B-232
smn:seiningEvent,B-232
smn:standardLength,B-232
smn:totalLength,B-232
